City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Ilulissat,GL,69.2167,-51.1,21.2,45,1,2.3,clear sky
271,Marquette,US,46.5333,-87.6335,8.01,31,0,5.99,clear sky
272,Adrar,MR,20.5022,-10.0711,67.86,21,75,8.43,broken clouds
273,Baglung,NP,28.2719,83.5898,53.51,54,33,3.42,scattered clouds
274,Gamba,GA,-2.65,10.0,77.65,87,100,4.43,overcast clouds
275,Saint-Pierre,RE,-21.3393,55.4781,80.6,69,75,14.97,broken clouds
276,Havoysund,NO,70.9963,24.6622,23.0,93,90,27.63,snow
277,Ngunguru,NZ,-35.6167,174.5,69.01,95,99,8.01,light rain
278,Qui Nhon,VN,13.7667,109.2333,70.93,89,75,12.86,broken clouds
279,Henties Bay,NA,-22.116,14.2845,66.0,89,48,7.4,scattered clouds
280,Helena,US,46.5927,-112.0361,1.0,55,90,9.22,overcast clouds
281,Hatillo,PR,18.4863,-66.8254,82.0,69,15,3.0,few clouds
282,Champerico,GT,14.3,-91.9167,91.4,55,75,9.22,broken clouds
283,Kieta,PG,-6.2167,155.6333,79.77,83,55,9.33,light rain
284,Pueblo Nuevo,MX,23.3833,-105.3833,72.97,20,0,7.02,clear sky
285,Pampierstad,ZA,-27.7832,24.6877,78.03,47,4,8.75,clear sky
286,Codrington,AU,-38.2667,141.9667,54.36,93,0,8.57,clear sky
287,Sakaiminato,JP,35.55,133.2333,33.8,93,75,8.05,broken clouds
288,Nanortalik,GL,60.1432,-45.2371,29.5,87,78,14.94,broken clouds
289,Padang,ID,-0.9492,100.3543,75.2,94,20,1.14,few clouds
290,Sommerda,DE,51.15,11.1,5.0,92,66,6.91,broken clouds
291,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.2,83,75,8.05,broken clouds
292,Udachnyy,RU,66.4167,112.4,-23.51,84,48,7.16,scattered clouds
293,Noumea,NC,-22.2763,166.4572,80.01,100,75,2.3,broken clouds
294,Santiago De Cao,PE,-7.9589,-79.2392,69.8,88,20,4.61,fog
295,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,68,40,4.27,scattered clouds
296,Mineiros,BR,-17.5694,-52.5511,81.34,51,10,4.7,clear sky
297,Esperance,AU,-33.8667,121.9,59.0,82,0,3.44,clear sky
298,Sokoto,NG,13.0609,5.239,77.0,15,0,9.95,clear sky
299,Catamarca,AR,-28.4696,-65.7852,71.01,96,55,1.99,broken clouds
300,Caceres,ES,39.522,-6.3748,48.99,87,3,8.99,clear sky
301,Tilichiki,RU,60.4667,166.1,12.83,94,100,13.56,overcast clouds
302,Broken Hill,AU,-31.95,141.4333,73.4,27,0,6.91,clear sky
303,Yarada,IN,17.65,83.2667,68.0,88,5,2.3,mist
304,Port Hardy,CA,50.6996,-127.4199,33.8,80,75,5.75,broken clouds
305,Kavieng,PG,-2.5744,150.7967,82.53,78,99,10.07,overcast clouds
306,Ponta Delgada,PT,37.7333,-25.6667,61.0,94,75,14.97,broken clouds
307,Kirakira,SB,-10.4544,161.9205,79.84,83,95,6.26,overcast clouds
308,Luderitz,NA,-26.6481,15.1594,69.8,68,0,12.46,clear sky
309,Marawi,PH,7.9986,124.2928,73.99,94,83,1.99,broken clouds
310,Nome,US,64.5011,-165.4064,-0.4,42,1,11.5,clear sky
311,Palmerston North,NZ,-40.35,175.6167,64.99,78,100,8.1,overcast clouds
312,Norman Wells,CA,65.282,-126.8329,-38.2,67,20,2.3,mist
313,Serabu,SL,7.7958,-12.0536,80.65,71,16,6.53,few clouds
314,Bathsheba,BB,13.2167,-59.5167,80.6,61,40,19.57,scattered clouds
315,Belgrade,RS,44.804,20.4651,52.0,81,0,11.5,clear sky
316,Haines Junction,CA,60.7522,-137.5108,-22.0,52,77,1.74,broken clouds
317,Mogadishu,SO,2.0371,45.3438,77.22,78,99,24.96,overcast clouds
318,Achikulak,RU,44.5517,44.8378,35.24,97,53,8.5,broken clouds
319,Omboue,GA,-1.5746,9.2618,77.86,88,100,3.83,overcast clouds
320,Ende,ID,-8.8432,121.6623,78.96,74,100,4.36,overcast clouds
321,Rio Grande,BR,-32.035,-52.0986,77.0,69,40,5.75,scattered clouds
322,Vestmanna,FO,62.1564,-7.1664,30.2,80,69,6.91,broken clouds
323,Rapla,EE,59.0072,24.7928,3.0,93,54,6.24,broken clouds
324,Impfondo,CG,1.6381,18.0667,76.82,27,63,2.55,broken clouds
325,Ordzhonikidze,KZ,52.4411,61.7408,-13.27,84,0,9.62,clear sky
